timestamp,heart rate zone,total minutes
2024-08-01T16:13:00Z,fat burn,1
2024-08-01T16:14:00Z,fat burn,1
2024-08-01T16:15:00Z,fat burn,1
2024-08-01T16:18:00Z,fat burn,1
2024-08-01T16:19:00Z,fat burn,1
2024-08-01T16:20:00Z,cardio,2
2024-08-01T16:21:00Z,fat burn,1
2024-08-01T16:22:00Z,fat burn,1
2024-08-01T16:23:00Z,fat burn,1
2024-08-01T16:24:00Z,fat burn,1
2024-08-01T16:25:00Z,fat burn,1
2024-08-01T16:26:00Z,fat burn,1
2024-08-02T16:33:00Z,fat burn,1
2024-08-02T16:34:00Z,fat burn,1
2024-08-02T16:35:00Z,cardio,2
2024-08-02T16:36:00Z,cardio,2
2024-08-02T16:37:00Z,cardio,2
2024-08-02T16:38:00Z,fat burn,1
2024-08-02T16:39:00Z,fat burn,1
2024-08-02T16:40:00Z,fat burn,1
2024-08-02T16:41:00Z,fat burn,1
2024-08-02T16:42:00Z,fat burn,1
2024-08-02T16:43:00Z,cardio,2
2024-08-02T16:44:00Z,cardio,2
2024-08-02T16:45:00Z,fat burn,1
2024-08-02T16:46:00Z,cardio,2
2024-08-02T16:47:00Z,cardio,2
2024-08-02T16:48:00Z,cardio,2
2024-08-02T16:49:00Z,cardio,2
2024-08-02T16:50:00Z,cardio,2
2024-08-02T16:51:00Z,cardio,2
2024-08-02T16:52:00Z,cardio,2
2024-08-02T16:53:00Z,cardio,2
2024-08-02T16:54:00Z,cardio,2
2024-08-02T16:55:00Z,cardio,2
2024-08-02T16:56:00Z,cardio,2
2024-08-02T16:57:00Z,cardio,2
2024-08-02T16:58:00Z,fat burn,1
2024-08-02T16:59:00Z,fat burn,1
2024-08-02T17:00:00Z,fat burn,1
2024-08-02T17:01:00Z,fat burn,1
2024-08-02T23:00:00Z,fat burn,1
2024-08-03T15:41:00Z,fat burn,1
2024-08-03T15:42:00Z,fat burn,1
2024-08-03T15:43:00Z,fat burn,1
2024-08-03T15:44:00Z,fat burn,1
2024-08-03T15:45:00Z,fat burn,1
2024-08-03T15:46:00Z,fat burn,1
2024-08-03T15:47:00Z,fat burn,1
2024-08-03T15:48:00Z,fat burn,1
2024-08-03T15:49:00Z,fat burn,1
2024-08-03T15:50:00Z,fat burn,1
2024-08-03T15:51:00Z,fat burn,1
2024-08-03T15:52:00Z,cardio,2
2024-08-03T15:53:00Z,fat burn,1
2024-08-03T15:54:00Z,fat burn,1
2024-08-03T15:55:00Z,fat burn,1
2024-08-03T15:56:00Z,fat burn,1
2024-08-03T15:57:00Z,fat burn,1
2024-08-03T16:03:00Z,fat burn,1
2024-08-03T16:04:00Z,fat burn,1
2024-08-03T16:05:00Z,fat burn,1
2024-08-03T16:19:00Z,fat burn,1
2024-08-03T16:20:00Z,fat burn,1
2024-08-03T16:21:00Z,fat burn,1
2024-08-03T16:22:00Z,fat burn,1
2024-08-03T16:23:00Z,fat burn,1
2024-08-03T16:24:00Z,fat burn,1
2024-08-03T16:27:00Z,fat burn,1
2024-08-03T16:29:00Z,fat burn,1
2024-08-03T16:30:00Z,fat burn,1
2024-08-03T16:31:00Z,fat burn,1
2024-08-03T16:32:00Z,fat burn,1
2024-08-03T16:35:00Z,fat burn,1
2024-08-03T18:26:00Z,fat burn,1
2024-08-03T18:27:00Z,fat burn,1
2024-08-03T22:24:00Z,fat burn,1
2024-08-04T15:44:00Z,fat burn,1
2024-08-04T15:45:00Z,fat burn,1
2024-08-04T15:46:00Z,fat burn,1
2024-08-04T15:47:00Z,cardio,2
2024-08-04T15:48:00Z,fat burn,1
2024-08-04T15:49:00Z,fat burn,1
2024-08-04T15:50:00Z,fat burn,1
2024-08-04T15:51:00Z,fat burn,1
2024-08-04T15:52:00Z,fat burn,1
2024-08-04T15:53:00Z,fat burn,1
2024-08-04T15:54:00Z,fat burn,1
2024-08-04T15:55:00Z,fat burn,1
2024-08-04T15:56:00Z,fat burn,1
2024-08-04T15:57:00Z,fat burn,1
2024-08-04T15:58:00Z,fat burn,1
2024-08-04T15:59:00Z,cardio,2
2024-08-04T16:00:00Z,cardio,2
2024-08-04T16:01:00Z,cardio,2
2024-08-04T16:02:00Z,fat burn,1
2024-08-04T16:03:00Z,cardio,2
2024-08-04T16:04:00Z,fat burn,1
2024-08-04T16:05:00Z,fat burn,1
2024-08-04T16:06:00Z,fat burn,1
2024-08-04T16:07:00Z,fat burn,1
2024-08-04T16:08:00Z,fat burn,1
2024-08-04T16:09:00Z,fat burn,1
2024-08-04T16:10:00Z,fat burn,1
2024-08-04T16:11:00Z,fat burn,1
2024-08-04T16:12:00Z,fat burn,1
2024-08-04T16:13:00Z,fat burn,1
2024-08-04T20:15:00Z,fat burn,1
2024-08-04T20:16:00Z,fat burn,1
2024-08-04T20:19:00Z,fat burn,1
2024-08-04T20:20:00Z,fat burn,1
2024-08-04T20:21:00Z,fat burn,1
2024-08-04T20:22:00Z,fat burn,1
2024-08-04T20:23:00Z,fat burn,1
2024-08-04T20:24:00Z,fat burn,1
2024-08-04T21:35:00Z,fat burn,1
2024-08-04T21:37:00Z,fat burn,1
2024-08-04T21:48:00Z,fat burn,1
2024-08-05T12:58:00Z,fat burn,1
2024-08-05T14:44:00Z,fat burn,1
2024-08-05T14:45:00Z,fat burn,1
2024-08-05T14:46:00Z,fat burn,1
2024-08-05T14:47:00Z,cardio,2
2024-08-05T14:48:00Z,cardio,2
2024-08-05T14:49:00Z,cardio,2
2024-08-05T14:50:00Z,cardio,2
2024-08-05T14:51:00Z,cardio,2
2024-08-05T14:52:00Z,cardio,2
